county,year,rolling_3yr_mean,ndvi_peak,ndvi_slope,heat_days_gt32,temp_anomaly,net_moisture_stress,wind_severe_days_58_cutoff
ringgold,2025,162.23333333333335,0.7857752957394146,0.005399705106226288,3,-2.9192902991500915,-0.059135201066743706,1.0
sac,2025,213.5333333333333,0.7559884110604584,0.006814858182197084,2,-2.7978350625502095,-0.18492336723648495,0.0
scott,2025,220.16666666666666,0.7804684684374728,0.00659326768842696,2,-3.021603095595921,-0.048668744722350464,0.0
shelby,2025,198.5,0.7450735664920053,0.006567977816584329,2,-2.7857029141479615,-0.06215889364742037,0.0
sioux,2025,209.53333333333333,0.771064354264259,0.006746473518283522,2,-3.012058685729169,0.020369845079034984,1.0
story,2025,211.33333333333334,0.789554848694123,0.0069738720649803795,2,-2.811180828605277,-0.029272276734768423,1.0
tama,2025,204.86666666666667,0.764140030345474,0.0065954935159354446,2,-2.8178152764617934,-0.03278515426881993,1.0
taylor,2025,185.9,0.7662887957653859,0.005549005294072018,3,-2.854548053643075,0.026764970858951936,1.0
union,2025,183.86666666666665,0.7572297584392701,0.0054888088261389875,3,-2.8866862082032654,-0.01410434975294985,0.0
van buren,2025,167.9,0.7972854682422595,0.005920970378530806,3,-3.1593569817417873,-0.06277201130773137,0.0
wapello,2025,183.9,0.822892716589872,0.006756214319433673,3,-3.010493030587714,-0.07573545287223031,0.0
warren,2025,175.0,0.7875821094979332,0.005965685249030785,3,-2.903465713987906,-0.008876930843915675,0.0
washington,2025,186.46666666666667,0.7894330056458717,0.006341886879873032,3,-2.916272586808958,-0.016325296802415006,0.0
wayne,2025,180.63333333333333,0.81233182417535,0.006285754614743909,3,-3.093135767134907,-0.1509605935614838,0.0
webster,2025,208.63333333333335,0.7818799759372854,0.00709448044767226,2,-2.814415433683177,-0.0303067443893105,0.0
winnebago,2025,203.79999999999998,0.7550230577356832,0.0067962760516477455,2,-2.9469156899444098,0.19771832489961186,0.0
winneshiek,2025,206.6,0.742801493508451,0.00614496989173138,0,-3.0763343866293056,0.1985785839121138,0.0
woodbury,2025,191.63333333333333,0.7290217844558304,0.00647257053690038,2,-2.822285697592406,-0.12083934887287137,2.0
worth,2025,201.86666666666667,0.6995127951411693,0.0058142223778771115,2,-2.943025108107445,0.24470760125468505,0.0
wright,2025,201.46666666666667,0.712672564245053,0.006098201359112744,2,-2.8268115251657147,0.10350679009404795,2.0
