county,year,rolling_3yr_mean,ndvi_peak,ndvi_slope,heat_days_gt32,temp_anomaly,net_moisture_stress,wind_severe_days_58_cutoff
jasper,2025,211.53333333333333,0.9205839783198011,0.0037372867991539113,3,-0.47873533846023975,0.05473093313911849,0
jefferson,2025,178.79999999999998,0.9074734291087495,0.003529437634798787,5,-0.5103177719683956,-0.004871682222085653,0
johnson,2025,190.0333333333333,0.9098115430850537,0.00369357457040857,3,-0.4788190578639373,0.072739941515516,0
jones,2025,193.5,0.9259415885136615,0.003586209039508736,1,-0.46929963759550475,-0.024615112434890604,0
keokuk,2025,170.13333333333335,0.9236149896991422,0.0036257240587840855,3,-0.4910843552607922,0.033140383612723485,0
kossuth,2025,193.36666666666667,0.9194584398755579,0.0036119838628286076,2,-0.4473967986574259,0.1331429138575737,0
lee,2025,180.76666666666665,0.9167963644773885,0.0034934756832714826,5,-0.5745733063912937,-0.12222869578241397,0
linn,2025,186.46666666666667,0.9123912210562776,0.003646523481875589,1,-0.47623299323472423,0.06612362872062456,0
louisa,2025,189.13333333333333,0.9022671575898876,0.003496634630970055,2,-0.48878461794632955,0.03998301851490958,0
lucas,2025,151.6,0.9000590456447932,0.0035003711187673683,4,-0.5478476503562035,-0.07243311592428213,0
lyon,2025,202.5666666666667,0.9328381257576323,0.003642381086794391,2,-0.5306417418378011,-0.18240950037313908,0
madison,2025,178.16666666666666,0.8872897894967897,0.0036842953595285083,3,-0.4609488922291334,0.11303260397690162,0
mahaska,2025,200.5666666666667,0.9267606368945891,0.003678184650969588,3,-0.5046181766276021,0.010957829414224846,0
marion,2025,192.66666666666666,0.9131805251878484,0.003602775840786456,3,-0.5043953864798354,0.0007927386169205911,0
marshall,2025,213.96666666666667,0.9235666516614782,0.003777057465039241,2,-0.4717972897596958,0.07126541891163672,0
mills,2025,201.73333333333335,0.9363160513852001,0.0037451558271657088,6,-0.35952227510491497,-0.13356219408522121,0
mitchell,2025,197.66666666666666,0.9310287945065554,0.0035807620419934312,0,-0.4551665378233274,0.1603604766028932,0
monona,2025,177.23333333333335,0.9433202690242958,0.003775298550952573,3,-0.3607645120033851,0.022353206537605162,0
monroe,2025,164.20000000000002,0.9030369922599183,0.003536146754195379,4,-0.5396809276360486,-0.07765078295569,0
montgomery,2025,199.63333333333333,0.9045221604969991,0.0035782611371346974,5,-0.4068230624539524,-0.012688680681065408,0
muscatine,2025,209.83333333333334,0.9160251501686468,0.0036176812095928225,2,-0.4888318528977358,0.0008045387590169647,0
osceola,2025,196.93333333333337,0.9387906235872784,0.0037269833727411232,2,-0.5197171096826168,-0.02137837212485492,0
page,2025,196.0,0.8957286301700935,0.0034715164897336104,5,-0.4040366258320276,-0.020507685641285016,0
palo alto,2025,199.19999999999996,0.920836161867499,0.003575908966854649,2,-0.46243604209913514,0.09939803290651346,0
