year,county,rolling_3yr_mean,ndvi_peak,ndvi_slope,temp_anomaly,net_moisture_stress,heat_days_gt32,wind_severe_days_58_cutoff
2025,palo alto,196.6,0.46870074935947204,0.0013458923950499025,0.0,-0.12399290128960834,0,0
2025,plymouth,191.03333333333333,0.44964757131862376,0.0012818408007012972,0.0,0.09162898655162141,0,0
2025,pocahontas,206.4333333333333,0.4650777324110372,0.0013716256489294972,0.0,-0.23668563471560516,0,0
2025,polk,204.33333333333334,0.5444155349802515,0.0024077464475970836,0.0,-0.08543276202430901,0,1
2025,pottawattamie,203.26666666666665,0.47544394119312816,0.0016828563778074673,0.0,-0.17683889632309482,0,0
2025,poweshiek,207.0666666666667,0.5308898525969798,0.0019293210077695026,0.0,-0.023777418908307445,0,0
2025,ringgold,162.23333333333332,0.6027589631288047,0.0024386265714425827,0.0,-0.25531058713943094,0,0
2025,sac,213.53333333333333,0.4591953573336365,0.0018076683178511503,0.0,-0.3626347891042558,0,0
2025,scott,220.16666666666666,0.5158894598381408,0.0017809570734110547,0.0,0.00245305638532101,0,2
2025,shelby,198.5,0.4582427597805052,0.0020330236404032015,0.0,-0.2160299985489088,0,0
2025,sioux,209.53333333333333,0.4787906091614593,0.0013456219632593048,0.0,0.056316368564947566,0,0
2025,story,211.33333333333334,0.5152337725820646,0.002339253516180663,0.0,-0.1014473741657499,0,0
2025,tama,204.86666666666667,0.4895697831571288,0.0017087838207170505,0.0,0.030713529733658842,0,0
2025,taylor,185.9,0.5532259979997188,0.0021384883086147002,0.0,-0.11221566174264899,0,1
2025,union,183.86666666666667,0.548442355369837,0.0021168194972131394,0.0,-0.20372119164812405,0,0
2025,van buren,167.9,0.5805945746480718,0.0020888450758157475,0.0,-0.09362255082582932,0,0
2025,wapello,183.9,0.5753720522888842,0.002086472368105262,0.0,-0.0034427317755133676,0,1
2025,warren,175.0,0.5741381764368902,0.002202852276466964,0.0,-0.04966340787375619,0,0
2025,washington,186.4666666666667,0.537105958314815,0.0019370446194835805,0.0,0.03385614669387933,0,1
2025,wayne,180.63333333333335,0.5949193795027974,0.00225409371170264,0.0,-0.07541101053062019,0,0
2025,webster,208.63333333333333,0.48818616141686366,0.0017861118995014416,0.0,-0.1512366228392464,0,0
2025,winnebago,203.79999999999998,0.464526959505877,0.001439920797776002,0.0,0.13683908119638155,0,0
2025,winneshiek,206.60000000000002,0.5055612766042916,0.0015825590730244232,0.0,0.24312059110176287,0,0
2025,woodbury,191.63333333333333,0.4352173269548152,0.001474471043287638,0.0,-0.09952828884114893,0,0
2025,worth,201.86666666666667,0.42323078530741043,0.001265382905843129,0.0,0.18607200642860408,0,0
2025,wright,201.46666666666667,0.4427959786246276,0.0013477661314731844,0.0,-0.03872581043832074,0,0
